Year,Quarter,Month,City,Index,AVG_PRICE_SQM,MED_PRICE_SQM,P75_PRICE_SQM,P25_PRICE_SQM,Inflation_adjusted,TOM_4Q,Closed_one_week_4Q,Granularity
2012,1.0,1.0,Aachen,89.22784423828125,7.1000000000000005,6.86,8.33,5.95,0,,,monthly
2012,1.0,1.0,Aachen,93.08519217720622,7.4,7.16,8.69,6.21,1,,,monthly
2012,1.0,1.0,Augsburg,84.38380432128906,7.0,7.0,7.62,6.33,0,,,monthly
2012,1.0,1.0,Augsburg,88.03174288190402,7.3100000000000005,7.3,7.95,6.61,1,,,monthly
2012,1.0,1.0,Berlin,83.12620544433594,7.13,6.76,8.040000000000001,5.8500000000000005,0,,,monthly
2012,1.0,1.0,Berlin,86.71977760758448,7.44,7.05,8.39,6.1000000000000005,1,,,monthly
2012,1.0,1.0,Bielefeld,92.3409423828125,5.84,5.71,6.4,5.11,0,,,monthly
2012,1.0,1.0,Bielefeld,96.33287053953822,6.09,5.96,6.68,5.33,1,,,monthly
2012,1.0,1.0,Bocholt,90.76954650878906,5.8100000000000005,5.42,6.58,5.23,0,,,monthly
2012,1.0,1.0,Bocholt,94.69354272467675,6.0600000000000005,5.65,6.86,5.46,1,,,monthly
2012,1.0,1.0,Bochum,92.74321746826172,5.5600000000000005,5.46,6.0,5.0,0,,,monthly
2012,1.0,1.0,Bochum,96.75253610421491,5.8,5.69,6.25,5.22,1,,,monthly
2012,1.0,1.0,Bonn,91.72687530517578,8.22,8.06,9.11,7.17,0,,,monthly
2012,1.0,1.0,Bonn,95.69225714783883,8.58,8.41,9.5,7.48,1,,,monthly
2012,1.0,1.0,Braunschweig,81.87602233886719,5.91,5.66,6.5,5.22,0,,,monthly
2012,1.0,1.0,Braunschweig,85.41554869089696,6.16,5.9,6.78,5.44,1,,,monthly
2012,1.0,1.0,Bremen,90.24514770507812,6.88,6.7,7.9,5.58,0,,,monthly
2012,1.0,1.0,Bremen,94.14647399475682,7.18,6.99,8.24,5.82,1,,,monthly
2012,1.0,1.0,Chemnitz,94.3349838256836,4.76,4.75,5.12,4.3100000000000005,0,,,monthly
2012,1.0,1.0,Chemnitz,98.41311502491753,4.96,4.95,5.34,4.5,1,,,monthly
2012,1.0,1.0,Dortmund,90.66747283935547,5.5600000000000005,5.4,6.11,4.8,0,,,monthly
2012,1.0,1.0,Dortmund,94.5870563782165,5.8100000000000005,5.63,6.37,5.01,1,,,monthly
2012,1.0,1.0,Dresden,87.60935974121094,6.08,6.0,6.67,5.43,0,,,monthly
2012,1.0,1.0,Dresden,91.39674008322429,6.34,6.26,6.95,5.67,1,,,monthly
2012,1.0,1.0,Duisburg,93.75341796875,5.13,4.95,5.66,4.55,0,,,monthly
2012,1.0,1.0,Duisburg,97.80640789197595,5.3500000000000005,5.16,5.9,4.74,1,,,monthly
2012,1.0,1.0,Düsseldorf,92.21003723144531,8.64,8.33,9.57,7.45,0,,,monthly
2012,1.0,1.0,Düsseldorf,96.19630631705785,9.01,8.69,9.98,7.78,1,,,monthly
2012,1.0,1.0,Erfurt,89.34239959716797,6.03,6.0,6.58,5.26,0,,,monthly
2012,1.0,1.0,Erfurt,93.20469980050397,6.29,6.26,6.86,5.49,1,,,monthly
2012,1.0,1.0,Essen,93.89007568359375,5.93,5.74,6.53,5.19,0,,,monthly
2012,1.0,1.0,Essen,97.94897336307214,6.19,5.99,6.82,5.42,1,,,monthly
2012,1.0,1.0,Frankfurt am Main,90.95645141601562,10.67,10.38,12.0,9.0,0,,,monthly
2012,1.0,1.0,Frankfurt am Main,94.88852759018114,11.13,10.83,12.52,9.39,1,,,monthly
2012,1.0,1.0,Gelsenkirchen,93.5399398803711,4.7700000000000005,4.71,5.1000000000000005,4.4,0,,,monthly
2012,1.0,1.0,Gelsenkirchen,97.58370107829002,4.98,4.91,5.32,4.59,1,,,monthly
2012,1.0,1.0,Hamburg,94.45547485351562,9.88,9.5,11.52,8.02,0,,,monthly
2012,1.0,1.0,Hamburg,98.5388149180072,10.31,9.91,12.02,8.370000000000001,1,,,monthly
2012,1.0,1.0,Hamm,95.35591125488281,5.3,5.15,5.87,4.7700000000000005,0,,,monthly
2012,1.0,1.0,Hamm,99.47817746991178,5.53,5.38,6.13,4.97,1,,,monthly
2012,1.0,1.0,Hannover,86.73428344726562,6.59,6.4,7.18,5.8,0,,,monthly
2012,1.0,1.0,Hannover,90.48383396420961,6.87,6.68,7.49,6.05,1,,,monthly
2012,1.0,1.0,Karlsruhe,90.11494445800781,8.02,7.73,9.11,7.07,0,,,monthly
2012,1.0,1.0,Karlsruhe,94.01064202011817,8.370000000000001,8.07,9.5,7.37,1,,,monthly
2012,1.0,1.0,Kiel,90.78946685791016,6.41,6.32,7.140000000000001,5.37,0,,,monthly
2012,1.0,1.0,Kiel,94.71432423679333,6.69,6.6000000000000005,7.44,5.61,1,,,monthly
2012,1.0,1.0,Köln,90.70341491699219,8.96,8.9,10.0,7.58,0,,,monthly
2012,1.0,1.0,Köln,94.62455224324185,9.35,9.290000000000001,10.43,7.9,1,,,monthly
2012,1.0,1.0,Leipzig,86.56038665771484,5.17,5.0,5.79,4.5,0,,,monthly
2012,1.0,1.0,Leipzig,90.302419561424,5.4,5.22,6.04,4.69,1,,,monthly
2012,1.0,1.0,Lübeck,90.22201538085938,6.38,6.15,7.0,5.5,0,,,monthly
2012,1.0,1.0,Lübeck,94.12234165284282,6.65,6.42,7.3,5.74,1,,,monthly
2012,1.0,1.0,Mönchengladbach,94.37628173828125,5.6000000000000005,5.48,6.03,5.04,0,,,monthly
2012,1.0,1.0,Mönchengladbach,98.45619825934382,5.84,5.72,6.29,5.26,1,,,monthly
2012,1.0,1.0,Mannheim,88.7800064086914,7.3,7.140000000000001,8.0,6.3100000000000005,0,,,monthly
2012,1.0,1.0,Mannheim,92.61799417654323,7.62,7.45,8.35,6.58,1,,,monthly
2012,1.0,1.0,Kreis Mettmann,94.59785461425781,6.92,6.87,7.63,6.0,0,,,monthly
2012,1.0,1.0,Kreis Mettmann,98.68734980085652,7.22,7.16,7.96,6.26,1,,,monthly
2012,1.0,1.0,München,85.68360137939453,12.530000000000001,12.38,13.790000000000001,11.08,0,,,monthly
2012,1.0,1.0,München,89.38773057809904,13.07,12.91,14.39,11.56,1,,,monthly
2012,1.0,1.0,Münster,92.44043731689453,8.25,7.95,9.4,7.0,0,,,monthly
2012,1.0,1.0,Münster,96.43666667110172,8.6,8.290000000000001,9.8,7.3,1,,,monthly
2012,1.0,1.0,Nürnberg,87.74688720703125,7.38,7.2,8.18,6.44,0,,,monthly
2012,1.0,1.0,Nürnberg,91.54021290490697,7.7,7.51,8.540000000000001,6.72,1,,,monthly
2012,1.0,1.0,Potsdam,93.44984436035156,7.8500000000000005,8.0,8.8,7.0,0,,,monthly
2012,1.0,1.0,Potsdam,97.489710700433,8.19,8.35,9.18,7.3,1,,,monthly
2012,1.0,1.0,Rhein-Erft-Kreis,92.94881439208984,6.95,6.890000000000001,7.62,6.13,0,,,monthly
2012,1.0,1.0,Rhein-Erft-Kreis,96.96702104811287,7.25,7.19,7.95,6.390000000000001,1,,,monthly
2012,1.0,1.0,Stuttgart,88.3680419921875,9.31,9.07,10.31,8.1,0,,,monthly
2012,1.0,1.0,Stuttgart,92.18822040796456,9.71,9.46,10.76,8.45,1,,,monthly
2012,1.0,1.0,Wiesbaden,91.84041595458984,8.55,8.36,9.38,7.58,0,,,monthly
2012,1.0,1.0,Wiesbaden,95.81070619545237,8.92,8.73,9.78,7.91,1,,,monthly
2012,1.0,1.0,Wuppertal,95.23169708251953,5.5200000000000005,5.4,6.0,4.93,0,,,monthly
2012,1.0,1.0,Wuppertal,99.34859347957475,5.76,5.63,6.26,5.14,1,,,monthly
2012,1.0,2.0,Aachen,91.4952392578125,7.3100000000000005,6.95,8.43,6.23,0,,,monthly
2012,1.0,2.0,Aachen,94.82264287848223,7.58,7.2,8.74,6.46,1,,,monthly
2012,1.0,2.0,Augsburg,84.06509399414062,7.08,7.0200000000000005,7.82,6.390000000000001,0,,,monthly
2012,1.0,2.0,Augsburg,87.12228582616439,7.34,7.28,8.11,6.62,1,,,monthly
2012,1.0,2.0,Berlin,83.8682632446289,7.16,6.86,8.14,5.9,0,,,monthly
