"",BBIM1.M.DE.B.A2C.A.B.A.2250.EUR.N,BBIM1.M.DE.B.A2C.A.B.A.2250.EUR.N_FLAGS
"",New business (volumes) of German banks / Housing loans to households / SUD231,
BBK_UNIT_ENG,,
Comment (in english),"The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). The reported volumes of new business are grossed up to form total results for Germany. Up to May 2010 the weighting scheme followed the Horvitz-Thomson estimator (an individual expansion factor for each reporting agent). From June 2010 for each stratum an individual expansion factor is used to gross-up the reported volumes of all reporting agents of the same stratum. Then the grossed-up volumes per stratum are added to calculate the aggregated volume of new business. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Excluding overdrafts.",
Decimals,0,
Time format code,P1M,
category,ZREK,
unit multiplier,Millions,
last update,2026-07-31 09:51:42,
2003-01,15547,
2003-02,12498,
2003-03,14210,
2003-04,16540,
2003-05,12279,
2003-06,13149,
2003-07,17231,
2003-08,13437,
2003-09,14926,
2003-10,15156,
2003-11,13245,
2003-12,17441,
2004-01,15286,
2004-02,11346,
2004-03,14144,
2004-04,13903,
2004-05,12177,
2004-06,14019,
2004-07,15348,
2004-08,10854,
2004-09,11119,
2004-10,12241,
2004-11,11143,
2004-12,13789,
2005-01,12926,
2005-02,9950,
2005-03,12844,
2005-04,13669,
2005-05,12015,
2005-06,14434,
2005-07,16593,
2005-08,14853,
2005-09,14204,
2005-10,14545,
2005-11,15980,
2005-12,19719,
2006-01,20235,
2006-02,14884,
2006-03,17351,
2006-04,16110,
2006-05,15761,
2006-06,15743,
2006-07,15445,
2006-08,14902,
2006-09,13132,
2006-10,15171,
2006-11,14420,
2006-12,15001,
2007-01,17214,
2007-02,12763,
2007-03,16403,
2007-04,16257,
2007-05,15696,
2007-06,16110,
2007-07,17313,
2007-08,14888,
2007-09,13166,
2007-10,15253,
2007-11,13623,
2007-12,13088,
2008-01,16211,
2008-02,12265,
2008-03,12444,
2008-04,16717,
2008-05,14133,
2008-06,15739,
2008-07,17390,
2008-08,13063,
2008-09,14136,
2008-10,15692,
2008-11,13446,
2008-12,15160,
2009-01,16761,
2009-02,13850,
2009-03,17570,
2009-04,18398,
2009-05,16194,
2009-06,17816,
2009-07,19866,
2009-08,15779,
2009-09,14807,
2009-10,15955,
2009-11,13720,
2009-12,14486,
2010-01,13789,
2010-02,11896,
2010-03,15310,
2010-04,14797,
2010-05,13846,
2010-06,14619,comment
2010-07,17726,
2010-08,14765,
2010-09,15880,
2010-10,16502,
2010-11,15880,
2010-12,17413,
2011-01,16627,
2011-02,14116,
2011-03,17046,
2011-04,16160,
2011-05,15927,
2011-06,13517,
2011-07,15501,
2011-08,15053,
2011-09,15004,
2011-10,15908,
2011-11,15885,
2011-12,16409,
2012-01,15200,
2012-02,13738,
2012-03,15889,
2012-04,15188,
2012-05,14935,
2012-06,16205,
2012-07,18522,
2012-08,17336,
2012-09,14897,
2012-10,17057,
2012-11,16258,
2012-12,14067,
2013-01,17097,
2013-02,14257,
2013-03,15371,
2013-04,17941,
2013-05,15495,
2013-06,16483,
2013-07,20820,
2013-08,16515,
2013-09,15228,
2013-10,16797,
2013-11,14089,
2013-12,14949,
2014-01,16476,
2014-02,14619,
2014-03,16104,
2014-04,17601,
2014-05,15743,
2014-06,15574,
2014-07,19021,
2014-08,15858,
2014-09,16458,
2014-10,17938,
2014-11,16120,
2014-12,18500,
2015-01,19769,
2015-02,17048,
2015-03,21134,
2015-04,20486,
2015-05,19549,
2015-06,24015,
2015-07,25310,
2015-08,19745,
2015-09,19161,
2015-10,19874,
2015-11,18426,
2015-12,19521,
2016-01,18507,
2016-02,18778,
2016-03,22396,
2016-04,17859,
2016-05,17968,
2016-06,21409,
2016-07,20287,
2016-08,19903,
2016-09,18636,
2016-10,17913,
2016-11,20223,
2016-12,21400,
2017-01,19804,
2017-02,17838,
2017-03,22196,
2017-04,18087,
2017-05,20484,
2017-06,19294,
2017-07,20405,
2017-08,20228,
2017-09,17363,
2017-10,18128,
2017-11,18793,
2017-12,17473,
2018-01,19643,
2018-02,18839,
2018-03,20592,
2018-04,21351,
2018-05,19514,
2018-06,21464,
2018-07,22177,
2018-08,20493,
2018-09,17864,
2018-10,21275,
2018-11,20357,
2018-12,17630,
2019-01,20907,
2019-02,19352,
2019-03,21335,
2019-04,23105,
2019-05,22629,
2019-06,20164,
2019-07,25672,
2019-08,22520,
2019-09,21803,
2019-10,23169,
2019-11,22234,
2019-12,20048,
2020-01,21927,
2020-02,20546,
2020-03,25314,
2020-04,24541,
2020-05,22361,
2020-06,22793,
2020-07,24349,
2020-08,21280,
2020-09,21782,
2020-10,23217,
2020-11,23185,
2020-12,22148,
2021-01,21721,
2021-02,22145,
2021-03,28589,
2021-04,24541,
2021-05,22786,
2021-06,25161,
2021-07,25121,
2021-08,22735,
2021-09,22232,
2021-10,22630,
2021-11,22516,
2021-12,23851,
2022-01,25085,
2022-02,26299,
2022-03,32270,
2022-04,25813,
2022-05,27272,
2022-06,22990,
2022-07,21054,
2022-08,18491,
2022-09,16113,
2022-10,14926,
2022-11,13557,
2022-12,13514,
2023-01,12735,
2023-02,12055,
2023-03,15260,
2023-04,12999,
2023-05,13657,
2023-06,13983,
2023-07,14335,
2023-08,14386,
2023-09,12286,
2023-10,13831,
2023-11,13473,
2023-12,12151,
2024-01,14667,
2024-02,14245,
2024-03,15439,
2024-04,16793,
2024-05,15403,
2024-06,16296,
2024-07,19511,
2024-08,16811,
2024-09,16611,
2024-10,17878,
2024-11,17721,
2024-12,16989,
2025-01,19743,
2025-02,19077,
2025-03,22151,
2025-04,21500,
2025-05,19870,
2025-06,19234,
2025-07,22489,
2025-08,18734,
2025-09,18834,
2025-10,20060,
2025-11,19614,
2025-12,19553,
2026-01,19014,
2026-02,18710,
2026-03,24167,
2026-04,21192,
2026-05,17219,
2026-06,19781,Provisional value
"",Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),
