"",BBIM1.M.DE.B.A2C.A.R.A.2250.EUR.N,BBIM1.M.DE.B.A2C.A.R.A.2250.EUR.N_FLAGS
"",Effective interest rates of German banks / New business / Housing loans to households / SUD131Z,
BBK_UNIT_ENG,,
Comment (in english),"The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). Volume-weighted average rates of all new agreements concluded during the reporting month. (Up to May 2010 the aggregated interest rate was calculated by weighting the reported interest rates with the reported volumes of new business. From June 2010 the interest rates per stratum are calculated by weighting the reported interest rates with the reported volumes of new business. Then the interest rate for Germany is aggregated by weighting the interest rates of each stratum with the grossed-up volumes of the same stratum.) The effective interest rates may always be calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Disagios are regarded as interest payments and included in the interest rate calculation. The annualised agreed interest rate and the narrowly defined effective rate differ in the underlying method of annualising interest rate payments. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Excluding overdrafts.",
Decimals,2,
Time format code,P1M,
category,ZREK,
unit multiplier,One,
last update,2026-07-31 09:51:43,
2003-01,5.32,
2003-02,5.13,
2003-03,5.02,
2003-04,4.98,
2003-05,4.90,
2003-06,4.76,
2003-07,4.60,
2003-08,4.71,
2003-09,4.84,
2003-10,4.81,
2003-11,4.93,
2003-12,4.98,
2004-01,4.94,
2004-02,4.86,
2004-03,4.77,
2004-04,4.66,
2004-05,4.72,
2004-06,4.75,
2004-07,4.73,
2004-08,4.80,
2004-09,4.77,
2004-10,4.66,
2004-11,4.64,
2004-12,4.53,
2005-01,4.47,
2005-02,4.41,
2005-03,4.40,
2005-04,4.41,
2005-05,4.32,
2005-06,4.20,
2005-07,4.14,
2005-08,4.12,
2005-09,4.11,
2005-10,4.12,
2005-11,4.19,
2005-12,4.27,
2006-01,4.35,
2006-02,4.34,
2006-03,4.43,
2006-04,4.53,
2006-05,4.61,
2006-06,4.68,
2006-07,4.75,
2006-08,4.80,
2006-09,4.78,
2006-10,4.75,
2006-11,4.76,
2006-12,4.73,
2007-01,4.81,
2007-02,4.91,
2007-03,4.91,
2007-04,4.93,
2007-05,4.98,
2007-06,5.13,
2007-07,5.27,
2007-08,5.31,
2007-09,5.27,
2007-10,5.24,
2007-11,5.22,
2007-12,5.22,
2008-01,5.23,
2008-02,5.09,
2008-03,5.02,
2008-04,5.07,
2008-05,5.12,
2008-06,5.24,
2008-07,5.42,
2008-08,5.48,
2008-09,5.39,
2008-10,5.37,
2008-11,5.21,
2008-12,4.90,
2009-01,4.76,
2009-02,4.50,
2009-03,4.34,
2009-04,4.25,
2009-05,4.21,
2009-06,4.23,
2009-07,4.22,
2009-08,4.18,
2009-09,4.14,
2009-10,4.08,
2009-11,4.06,
2009-12,4.05,
2010-01,3.99,
2010-02,3.97,
2010-03,3.88,
2010-04,3.88,
2010-05,3.80,
2010-06,3.68,comment
2010-07,3.56,
2010-08,3.62,
2010-09,3.52,
2010-10,3.45,
2010-11,3.53,
2010-12,3.61,
2011-01,3.69,
2011-02,3.90,
2011-03,3.97,
2011-04,4.07,
2011-05,4.15,
2011-06,4.10,
2011-07,4.00,
2011-08,3.97,
2011-09,3.73,
2011-10,3.56,
2011-11,3.53,
2011-12,3.49,
2012-01,3.46,
2012-02,3.39,
2012-03,3.27,
2012-04,3.30,
2012-05,3.18,
2012-06,3.03,
2012-07,2.99,
2012-08,2.92,
2012-09,2.86,
2012-10,2.83,
2012-11,2.80,
2012-12,2.79,
2013-01,2.75,
2013-02,2.77,
2013-03,2.78,
2013-04,2.78,
2013-05,2.68,
2013-06,2.62,
2013-07,2.67,
2013-08,2.76,
2013-09,2.83,
2013-10,2.84,
2013-11,2.87,
2013-12,2.80,
2014-01,2.81,
2014-02,2.83,
2014-03,2.72,
2014-04,2.71,
2014-05,2.63,
2014-06,2.55,
2014-07,2.46,
2014-08,2.41,
2014-09,2.30,
2014-10,2.25,
2014-11,2.17,
2014-12,2.13,
2015-01,1.96,
2015-02,1.96,
2015-03,1.88,
2015-04,1.87,
2015-05,1.77,
2015-06,1.85,
2015-07,1.99,
2015-08,2.06,
2015-09,2.03,
2015-10,2.05,
2015-11,2.02,
2015-12,1.95,
2016-01,1.97,
2016-02,1.96,
2016-03,1.82,
2016-04,1.88,
2016-05,1.79,
2016-06,1.76,
2016-07,1.73,
2016-08,1.68,
2016-09,1.64,
2016-10,1.62,
2016-11,1.62,
2016-12,1.66,
2017-01,1.77,
2017-02,1.81,
2017-03,1.82,
2017-04,1.85,
2017-05,1.83,
